
Device,Start ,Stop,Duration,,Device,Start ,Duration,Status,
Yue 1,1/24/2025,6/2/2025,129,,Yue 1,1/24/2025,129,Dislocation,
PCBWay 1,2/28/2025,6/10/2025,102,,PCBWay 1,2/28/2025,102,Scratch,
PCBWay 2,2/28/2025,4/15/2025,46,,PCBWay 2,2/28/2025,46,Scratch,
PCBWay 3,2/28/2025,4/2/2025,33,,PCBWay 3,2/28/2025,33,Encapsulation,
Altaflex A 1,3/11/2025,4/22/2025,42,,Altaflex A 1,3/11/2025,42,Scratch,
Altaflex A 2,3/11/2025,11/6/2025,240,,Altaflex A 2,3/11/2025,240,
Altaflex A 3,3/11/2025,4/2/2025,22,,Altaflex A 3,3/11/2025,22,Scratch,
Altaflex A 4,4/1/2025,11/6/2025,219,,Altaflex A 4,4/1/2025,219,
Altaflex B 1,5/1/2025,9/11/2025,133,,Altaflex B 1,5/1/2025,133,No Connect/Dry,
Altaflex B 2,5/1/2025,11/6/2025,189,,Altaflex B 2,5/1/2025,189,
Altaflex B 3,5/1/2025,11/6/2025,189,,Altaflex B 3,5/1/2025,189,
Altaflex B 4,5/1/2025,6/2/2025,32,,Altaflex B 4,5/1/2025,32,Dislocation,
Altaflex B 5,5/1/2025,5/22/2025,21,,Altaflex B 5,5/1/2025,21,Scratch,
Altaflex Flip 1,7/2/2025,11/6/2025,127,,Altaflex Flip 1,7/2/2025,127,
Altaflex Flip 2,7/2/2025,9/18/2025,78,,Altaflex Flip 2,7/2/2025,78,Dislocation,
Altaflex Sil 1,7/2/2025,11/6/2025,127,,Altaflex Sil 1,7/2/2025,127,
Altaflex Sil 2,7/2/2025,11/6/2025,127,,Altaflex Sil 2,7/2/2025,127,
